start_point_id,minIndex,minDistSquare
86,1.0,0.00394456936141
87,1.0,0.00484877175821
88,1.0,0.00685180160564
89,1.0,0.00367306119848
90,2.0,0.00225285092966
91,1.0,0.00359647837153
92,1.0,0.00451026303011
93,1.0,0.0041260460259
94,2.0,0.00227460090265
95,1.0,0.00335438460523
96,1.0,0.0029880644488
97,2.0,0.00265113935779
98,1.0,0.00329643365191
99,1.0,0.00295088679358
100,2.0,0.00194044153554
101,2.0,0.00258399865991
102,2.0,0.00204928142407
103,2.0,0.00177233520017
104,1.0,0.00229714809878
105,2.0,0.00200491787752
106,1.0,0.00219800277654
107,2.0,0.00258456330543
108,1.0,0.00405354904241
109,2.0,0.0010719518085
110,0.0,0.0
111,2.0,0.00173440390161
112,2.0,0.00220769171041
113,2.0,0.0026516542782
114,2.0,0.00254067293373
115,2.0,0.000944913854789
116,2.0,0.00287272684552
117,1.0,0.00310597300154
118,1.0,0.00309808674981
119,1.0,0.00295900600518
120,2.0,0.00193222733687
121,2.0,0.00428677969111
122,1.0,0.00346931322656
123,2.0,0.00289958564142
124,2.0,0.00330046819083
125,1.0,0.0028673495542
126,1.0,0.00311100924577
127,2.0,0.00487412675459
128,0.0,0.0
129,1.0,0.00344812147007
130,1.0,0.0027775898156
131,2.0,0.00193482021357
132,2.0,0.00199464464405
133,1.0,0.00589089462133
134,2.0,0.00170620584449
135,2.0,0.00203007661427
136,1.0,0.00536844514172
137,1.0,0.00277222390224
138,1.0,0.00640535792913
139,1.0,0.00418115215158
140,1.0,0.00314675965728
141,1.0,0.00693393586845
142,2.0,0.00194897065939
143,1.0,0.00258226752923
144,2.0,0.00195095573526
145,1.0,0.00218805587326
146,2.0,0.00255287561756
147,2.0,0.00187670149095
148,2.0,0.00241979135491
149,1.0,0.00369354533562
150,1.0,0.00435879316468
151,2.0,0.00207346581351
152,2.0,0.00201740190108
153,2.0,0.00401807977569
154,1.0,0.00385229786085
155,1.0,0.00343556182515
156,2.0,0.00208295025053
157,2.0,0.00708717659813
158,2.0,0.00505825655336
159,2.0,0.0020701105014
160,2.0,0.00222404087318
161,2.0,0.00229814780194
162,1.0,0.00219799662168
